,GSE Day,GSE Time,TLM frame counter,"Pc,rde","Pc,pde","a_x,ci","a_y,ci","a_z,ci","omg_x,ci","omg_y,ci","omg_z,ci",DES loop counter
3,295,53074.064,14787,,0.09755706787109375,0.0,12816.0,12816.0,12816.0,12816.0,12816.0,2308
4,295,53074.064,14788,0.091644287109375,,0.0,38160.0,38160.0,38160.0,38160.0,38160.0,2309
5,295,53074.064999999995,14789,,0.09244537353515625,0.0,22288.0,22288.0,22288.0,22288.0,22288.0,2310
6,295,53074.066,14790,0.102325439453125,,0.0,8208.0,8208.0,8208.0,8208.0,8208.0,2311
7,295,53074.066,14791,,0.09008026123046875,0.0,33296.0,33296.0,33296.0,33296.0,33296.0,2312
0,295,53074.066999999995,14792,0.10064697265625,,0.0,17680.0,17680.0,17680.0,17680.0,17680.0,2313
1,295,53074.068,14793,,0.08756256103515625,0.0,1808.0,1808.0,1808.0,1808.0,1808.0,2314
2,295,53074.068,14794,0.100189208984375,,0.0,28688.0,28688.0,28688.0,28688.0,28688.0,2315
3,295,53074.068999999996,14795,,0.10099029541015625,0.0,12816.0,12816.0,12816.0,12816.0,12816.0,2316
4,295,53074.068999999996,14796,0.095001220703125,,0.0,38160.0,38160.0,38160.0,38160.0,38160.0,2317
5,295,53074.07,14797,,0.0998077392578125,0.0,22288.0,22288.0,22288.0,22288.0,22288.0,2318
6,295,53074.070999999996,14798,0.088897705078125,,0.0,8208.0,8208.0,8208.0,8208.0,8208.0,2319
7,295,53074.070999999996,14799,,0.09515380859375,0.0,33296.0,33296.0,33296.0,33296.0,33296.0,2320
0,295,53074.072,14800,0.10015106201171875,,0.0,17680.0,17680.0,17680.0,17680.0,17680.0,2321
1,295,53074.073,14801,,0.09564971923828125,0.0,1808.0,1808.0,1808.0,1808.0,1808.0,2322
2,295,53074.073,14802,0.09702301025390625,,0.0,28688.0,28688.0,28688.0,28688.0,28688.0,2323
3,295,53074.074,14803,,0.08946990966796875,0.0,12816.0,12816.0,12816.0,12816.0,12816.0,2324
4,295,53074.074,14804,0.095611572265625,,0.0,38160.0,38160.0,38160.0,38160.0,38160.0,2325
5,295,53074.075,14805,,0.09595489501953125,0.0,22288.0,22288.0,22288.0,22288.0,22288.0,2326
6,295,53074.076,14806,0.09454345703125,,0.0,8208.0,8208.0,8208.0,8208.0,8208.0,2327
7,295,53074.076,14807,,0.10182952880859375,0.0,33296.0,33296.0,33296.0,33296.0,33296.0,2328
0,295,53074.077,14808,0.090576171875,,0.0,17680.0,17680.0,17680.0,17680.0,17680.0,2329
1,295,53074.078,14809,,0.09702301025390625,0.0,1808.0,1808.0,1808.0,1808.0,1808.0,2330
2,295,53074.078,14810,0.09557342529296875,,0.0,28688.0,28688.0,28688.0,28688.0,28688.0,2331
3,295,53074.079,14811,,0.09229278564453125,0.0,12816.0,12816.0,12816.0,12816.0,12816.0,2332
4,295,53074.079,14812,0.10289764404296875,,0.0,38160.0,38160.0,38160.0,38160.0,38160.0,2333
5,295,53074.08,14813,,0.08935546875,0.0,22288.0,22288.0,22288.0,22288.0,22288.0,2334
6,295,53074.081,14814,0.0988922119140625,,0.0,8208.0,8208.0,8208.0,8208.0,8208.0,2335
7,295,53074.081,14815,,0.0894317626953125,0.0,33296.0,33296.0,33296.0,33296.0,33296.0,2336
0,295,53074.082,14816,0.0953826904296875,,0.0,17680.0,17680.0,17680.0,17680.0,17680.0,2337
1,295,53074.083,14817,,0.1005706787109375,0.0,1808.0,1808.0,1808.0,1808.0,1808.0,2338
2,295,53074.083,14818,0.09358978271484375,,0.0,28688.0,28688.0,28688.0,28688.0,28688.0,2339
3,295,53074.084,14819,,0.09732818603515625,0.0,12816.0,12816.0,12816.0,12816.0,12816.0,2340
4,295,53074.084,14820,0.0856170654296875,,0.0,38160.0,38160.0,38160.0,38160.0,38160.0,2341
5,295,53074.085,14821,,0.09526824951171875,0.0,22288.0,22288.0,22288.0,22288.0,22288.0,2342
6,295,53074.086,14822,0.10282135009765625,,0.0,8208.0,8208.0,8208.0,8208.0,8208.0,2343
7,295,53074.086,14823,,0.09122467041015625,0.0,33296.0,33296.0,33296.0,33296.0,33296.0,2344
0,295,53074.087,14824,0.098968505859375,,0.0,17680.0,17680.0,17680.0,17680.0,17680.0,2345
1,295,53074.088,14825,,0.08557891845703125,0.0,1808.0,1808.0,1808.0,1808.0,1808.0,2346
2,295,53074.088,14826,0.09458160400390625,,0.0,28688.0,28688.0,28688.0,28688.0,28688.0,2347
3,295,53074.089,14827,,0.10106658935546875,0.0,12816.0,12816.0,12816.0,12816.0,12816.0,2348
4,295,53074.089,14828,0.09549713134765625,,0.0,38160.0,38160.0,38160.0,38160.0,38160.0,2349
5,295,53074.09,14829,,0.09824371337890625,0.0,22288.0,22288.0,22288.0,22288.0,22288.0,2350
6,295,53074.09099999999,14830,0.09069061279296875,,0.0,8208.0,8208.0,8208.0,8208.0,8208.0,2351
7,295,53074.09099999999,14831,,0.0976715087890625,0.0,33296.0,33296.0,33296.0,33296.0,33296.0,2352
0,295,53074.092,14832,0.09820556640625,,0.0,17680.0,17680.0,17680.0,17680.0,17680.0,2353
1,295,53074.09299999999,14833,,0.09427642822265625,0.0,1808.0,1808.0,1808.0,1808.0,1808.0,2354
2,295,53074.09299999999,14834,0.102783203125,,0.0,28688.0,28688.0,28688.0,28688.0,28688.0,2355
3,295,53074.094,14835,,0.08931732177734375,0.0,12816.0,12816.0,12816.0,12816.0,12816.0,2356
4,295,53074.094,14836,0.0991973876953125,,0.0,38160.0,38160.0,38160.0,38160.0,38160.0,2357
5,295,53074.094999999994,14837,,0.0926361083984375,0.0,22288.0,22288.0,22288.0,22288.0,22288.0,2358
6,295,53074.096,14838,0.09549713134765625,,0.0,8208.0,8208.0,8208.0,8208.0,8208.0,2359
7,295,53074.096,14839,,0.10083770751953125,0.0,33296.0,33296.0,33296.0,33296.0,33296.0,2360
0,295,53074.096999999994,14840,0.09030914306640625,,0.0,17680.0,17680.0,17680.0,17680.0,17680.0,2361
1,295,53074.098,14841,,0.09938812255859375,0.0,1808.0,1808.0,1808.0,1808.0,1808.0,2362
2,295,53074.098,14842,0.08924102783203125,,0.0,28688.0,28688.0,28688.0,28688.0,28688.0,2363
3,295,53074.098999999995,14843,,0.09576416015625,0.0,12816.0,12816.0,12816.0,12816.0,12816.0,2364
4,295,53074.098999999995,14844,0.10190582275390625,,0.0,38160.0,38160.0,38160.0,38160.0,38160.0,2365
5,295,53074.1,14845,,0.09442901611328125,0.0,22288.0,22288.0,22288.0,22288.0,22288.0,2366
6,295,53074.100999999995,14846,0.0966796875,,0.0,8208.0,8208.0,8208.0,8208.0,8208.0,2367
7,295,53074.100999999995,14847,,0.0882110595703125,0.0,33296.0,33296.0,33296.0,33296.0,33296.0,2368
0,295,53074.102,14848,0.09816741943359375,,0.0,17680.0,17680.0,17680.0,17680.0,17680.0,2369
1,295,53074.102999999996,14849,,0.10064697265625,0.0,1808.0,1808.0,1808.0,1808.0,1808.0,2370
2,295,53074.102999999996,14850,0.0964508056640625,,0.0,28688.0,28688.0,28688.0,28688.0,28688.0,2371
3,295,53074.104,14851,,0.09954071044921875,0.0,12816.0,12816.0,12816.0,12816.0,12816.0,2372
4,295,53074.104,14852,0.0860748291015625,,0.0,38160.0,38160.0,38160.0,38160.0,38160.0,2373
5,295,53074.104999999996,14853,,0.09679412841796875,0.0,22288.0,22288.0,22288.0,22288.0,22288.0,2374
6,295,53074.106,14854,0.1002655029296875,,0.0,8208.0,8208.0,8208.0,8208.0,8208.0,2375
7,295,53074.106,14855,,0.09393310546875,0.0,33296.0,33296.0,33296.0,33296.0,33296.0,2376
0,295,53074.106999999996,14856,0.10152435302734375,,0.0,17680.0,17680.0,17680.0,17680.0,17680.0,2377
1,295,53074.108,14857,,0.08779144287109375,0.0,1808.0,1808.0,1808.0,1808.0,1808.0,2378
2,295,53074.108,14858,0.10037994384765625,,0.0,28688.0,28688.0,28688.0,28688.0,28688.0,2379
3,295,53074.109,14859,,0.09435272216796875,0.0,12816.0,12816.0,12816.0,12816.0,12816.0,2380
4,295,53074.109,14860,0.0949249267578125,,0.0,38160.0,38160.0,38160.0,38160.0,38160.0,2381
5,295,53074.11,14861,,0.1020965576171875,0.0,22288.0,22288.0,22288.0,22288.0,22288.0,2382
6,295,53074.111,14862,0.08962249755859375,,0.0,8208.0,8208.0,8208.0,8208.0,8208.0,2383
7,295,53074.111,14863,,0.1010284423828125,0.0,33296.0,33296.0,33296.0,33296.0,33296.0,2384
0,295,53074.112,14864,0.0933990478515625,,0.0,17680.0,17680.0,17680.0,17680.0,17680.0,2385
1,295,53074.113,14865,,0.09412384033203125,0.0,1808.0,1808.0,1808.0,1808.0,1808.0,2386
2,295,53074.113,14866,0.10106658935546875,,0.0,28688.0,28688.0,28688.0,28688.0,28688.0,2387
3,295,53074.114,14867,,0.0909576416015625,0.0,12816.0,12816.0,12816.0,12816.0,12816.0,2388
4,295,53074.114,14868,0.09763336181640625,,0.0,38160.0,38160.0,38160.0,38160.0,38160.0,2389
5,295,53074.115,14869,,0.08782958984375,0.0,22288.0,22288.0,22288.0,22288.0,22288.0,2390
6,295,53074.116,14870,0.09732818603515625,,0.0,8208.0,8208.0,8208.0,8208.0,8208.0,2391
7,295,53074.116,14871,,0.100799560546875,0.0,33296.0,33296.0,33296.0,33296.0,33296.0,2392
0,295,53074.117,14872,0.09275054931640625,,0.0,17680.0,17680.0,17680.0,17680.0,17680.0,2393
1,295,53074.118,14873,,0.101104736328125,0.0,1808.0,1808.0,1808.0,1808.0,1808.0,2394
2,295,53074.118,14874,0.088134765625,,0.0,28688.0,28688.0,28688.0,28688.0,28688.0,2395
3,295,53074.119,14875,,0.09709930419921875,0.0,12816.0,12816.0,12816.0,12816.0,12816.0,2396
4,295,53074.119,14876,0.10022735595703125,,0.0,38160.0,38160.0,38160.0,38160.0,38160.0,2397
5,295,53074.119999999995,14877,,0.09206390380859375,0.0,22288.0,22288.0,22288.0,22288.0,22288.0,2398
6,295,53074.12099999999,14878,0.10076141357421875,,0.0,8208.0,8208.0,8208.0,8208.0,8208.0,2399
7,295,53074.12099999999,14879,,0.08050537109375,0.0,33296.0,33296.0,33296.0,33296.0,33296.0,2400
0,295,53074.121999999996,14880,0.098052978515625,,0.0,17680.0,17680.0,17680.0,17680.0,17680.0,2401
1,295,53074.12299999999,14881,,0.0959930419921875,0.0,1808.0,1808.0,1808.0,1808.0,1808.0,2402
2,295,53074.12299999999,14882,0.09503936767578125,,0.0,28688.0,28688.0,28688.0,28688.0,28688.0,2403
3,295,53074.123999999996,14883,,0.10037994384765625,0.0,12816.0,12816.0,12816.0,12816.0,12816.0,2404
4,295,53074.123999999996,14884,0.08855438232421875,,0.0,38160.0,38160.0,38160.0,38160.0,38160.0,2405
5,295,53074.12499999999,14885,,0.09816741943359375,0.0,22288.0,22288.0,22288.0,22288.0,22288.0,2406
6,295,53074.126,14886,0.0897369384765625,,0.0,8208.0,8208.0,8208.0,8208.0,8208.0,2407
7,295,53074.126,14887,,0.09427642822265625,0.0,33296.0,33296.0,33296.0,33296.0,33296.0,2408
0,295,53074.132,14896,0.0883636474609375,,0.0,17680.0,17680.0,17680.0,17680.0,17680.0,2417
1,295,53074.132999999994,14897,,0.0937042236328125,0.0,1808.0,1808.0,1808.0,1808.0,1808.0,2418
2,295,53074.132999999994,14898,0.09984588623046875,,0.0,28688.0,28688.0,28688.0,28688.0,28688.0,2419
3,295,53074.134,14899,,0.09328460693359375,0.0,12816.0,12816.0,12816.0,12816.0,12816.0,2420
4,295,53074.134,14900,0.10251617431640625,,0.0,38160.0,38160.0,38160.0,38160.0,38160.0,2421
5,295,53074.134999999995,14901,,0.0865325927734375,0.0,22288.0,22288.0,22288.0,22288.0,22288.0,2422
6,295,53074.136,14902,0.0996551513671875,,0.0,8208.0,8208.0,8208.0,8208.0,8208.0,2423
7,295,53074.136,14903,,0.09816741943359375,0.0,33296.0,33296.0,33296.0,33296.0,33296.0,2424
0,295,53074.136999999995,14904,0.09358978271484375,,0.0,17680.0,17680.0,17680.0,17680.0,17680.0,2425
1,295,53074.138,14905,,0.10045623779296875,0.0,1808.0,1808.0,1808.0,1808.0,1808.0,2426
2,295,53074.138,14906,0.087371826171875,,0.0,28688.0,28688.0,28688.0,28688.0,28688.0,2427
3,295,53074.138999999996,14907,,0.09511566162109375,0.0,12816.0,12816.0,12816.0,12816.0,12816.0,2428
4,295,53074.138999999996,14908,0.0967559814453125,,0.0,38160.0,38160.0,38160.0,38160.0,38160.0,2429
5,295,53074.14,14909,,0.091644287109375,0.0,22288.0,22288.0,22288.0,22288.0,22288.0,2430
6,295,53074.140999999996,14910,0.1008758544921875,,0.0,8208.0,8208.0,8208.0,8208.0,8208.0,2431
7,295,53074.140999999996,14911,,0.0863800048828125,0.0,33296.0,33296.0,33296.0,33296.0,33296.0,2432
0,295,53074.142,14912,0.097900390625,,0.0,17680.0,17680.0,17680.0,17680.0,17680.0,2433
1,295,53074.143,14913,,0.09076690673828125,0.0,1808.0,1808.0,1808.0,1808.0,1808.0,2434
2,295,53074.143,14914,0.09412384033203125,,0.0,28688.0,28688.0,28688.0,28688.0,28688.0,2435
3,295,53074.144,14915,,0.1015625,0.0,12816.0,12816.0,12816.0,12816.0,12816.0,2436
4,295,53074.144,14916,0.09084320068359375,,0.0,38160.0,38160.0,38160.0,38160.0,38160.0,2437
5,295,53074.145,14917,,0.0993499755859375,0.0,22288.0,22288.0,22288.0,22288.0,22288.0,2438
6,295,53074.146,14918,0.0871429443359375,,0.0,8208.0,8208.0,8208.0,8208.0,8208.0,2439
7,295,53074.146,14919,,0.09572601318359375,0.0,33296.0,33296.0,33296.0,33296.0,33296.0,2440
0,295,53074.147,14920,0.1021728515625,,0.0,17680.0,17680.0,17680.0,17680.0,17680.0,2441
1,295,53074.148,14921,,0.09290313720703125,0.0,1808.0,1808.0,1808.0,1808.0,1808.0,2442
2,295,53074.148,14922,0.10015106201171875,,0.0,28688.0,28688.0,28688.0,28688.0,28688.0,2443
3,295,53074.149,14923,,0.092559814453125,0.0,12816.0,12816.0,12816.0,12816.0,12816.0,2444
4,295,53074.149,14924,0.0948486328125,,0.0,38160.0,38160.0,38160.0,38160.0,38160.0,2445
5,295,53074.15,14925,,0.1013336181640625,0.0,22288.0,22288.0,22288.0,22288.0,22288.0,2446
6,295,53074.151,14926,0.09305572509765625,,0.0,8208.0,8208.0,8208.0,8208.0,8208.0,2447
7,295,53074.151,14927,,0.1002655029296875,0.0,33296.0,33296.0,33296.0,33296.0,33296.0,2448
0,295,53074.152,14928,0.08596038818359375,,0.0,17680.0,17680.0,17680.0,17680.0,17680.0,2449
1,295,53074.153,14929,,0.09358978271484375,0.0,1808.0,1808.0,1808.0,1808.0,1808.0,2450
2,295,53074.153,14930,0.10022735595703125,,0.0,28688.0,28688.0,28688.0,28688.0,28688.0,2451
3,295,53074.154,14931,,0.09107208251953125,0.0,12816.0,12816.0,12816.0,12816.0,12816.0,2452
4,295,53074.154,14932,0.102325439453125,,0.0,38160.0,38160.0,38160.0,38160.0,38160.0,2453
5,295,53074.155,14933,,0.0856170654296875,0.0,22288.0,22288.0,22288.0,22288.0,22288.0,2454
6,295,53074.156,14934,0.0993499755859375,,0.0,8208.0,8208.0,8208.0,8208.0,8208.0,2455
7,295,53074.156,14935,,0.09412384033203125,0.0,33296.0,33296.0,33296.0,33296.0,33296.0,2456
0,295,53074.157,14936,0.09435272216796875,,0.0,17680.0,17680.0,17680.0,17680.0,17680.0,2457
1,295,53074.158,14937,,0.10076141357421875,0.0,1808.0,1808.0,1808.0,1808.0,1808.0,2458
2,295,53074.158,14938,0.09091949462890625,,0.0,28688.0,28688.0,28688.0,28688.0,28688.0,2459
3,295,53074.159,14939,,0.0972900390625,0.0,12816.0,12816.0,12816.0,12816.0,12816.0,2460
4,295,53074.159,14940,0.0891265869140625,,0.0,38160.0,38160.0,38160.0,38160.0,38160.0,2461
5,295,53074.159999999996,14941,,0.0929412841796875,0.0,22288.0,22288.0,22288.0,22288.0,22288.0,2462
6,295,53074.16099999999,14942,0.10221099853515625,,0.0,8208.0,8208.0,8208.0,8208.0,8208.0,2463
7,295,53074.16099999999,14943,,0.0936279296875,0.0,33296.0,33296.0,33296.0,33296.0,33296.0,2464
0,295,53074.162,14944,0.09984588623046875,,0.0,17680.0,17680.0,17680.0,17680.0,17680.0,2465
1,295,53074.16299999999,14945,,0.08672332763671875,0.0,1808.0,1808.0,1808.0,1808.0,1808.0,2466
2,295,53074.16299999999,14946,0.09626007080078125,,0.0,28688.0,28688.0,28688.0,28688.0,28688.0,2467
